Vardas         Pavarde        Galutinis(Vid.)Galutinis(Med.)
Vardas0396     Pavarde0396     5.01            5.50           
Vardas0844     Pavarde0844     5.01            5.61           
Vardas0450     Pavarde0450     5.01            4.73           
Vardas0196     Pavarde0196     5.01            4.77           
Vardas0820     Pavarde0820     5.02            5.16           
Vardas0912     Pavarde0912     5.02            4.72           
Vardas0248     Pavarde0248     5.03            4.72           
Vardas0403     Pavarde0403     5.05            5.24           
Vardas0877     Pavarde0877     5.06            4.25           
Vardas0466     Pavarde0466     5.06            5.27           
Vardas0979     Pavarde0979     5.06            4.85           
Vardas0361     Pavarde0361     5.07            5.11           
Vardas0911     Pavarde0911     5.07            5.89           
Vardas0986     Pavarde0986     5.08            5.15           
Vardas0905     Pavarde0905     5.09            4.66           
Vardas0036     Pavarde0036     5.09            5.28           
Vardas0783     Pavarde0783     5.09            5.38           
Vardas0611     Pavarde0611     5.10            5.01           
Vardas0808     Pavarde0808     5.11            5.22           
Vardas0256     Pavarde0256     5.12            5.27           
Vardas0660     Pavarde0660     5.13            5.39           
Vardas0101     Pavarde0101     5.13            5.13           
Vardas0995     Pavarde0995     5.14            5.10           
Vardas0841     Pavarde0841     5.14            5.19           
Vardas0281     Pavarde0281     5.14            4.74           
Vardas0199     Pavarde0199     5.15            5.55           
Vardas0147     Pavarde0147     5.15            4.85           
Vardas0502     Pavarde0502     5.15            5.29           
Vardas0243     Pavarde0243     5.16            4.78           
Vardas0244     Pavarde0244     5.16            5.10           
Vardas0653     Pavarde0653     5.16            4.47           
Vardas0609     Pavarde0609     5.17            4.78           
Vardas0485     Pavarde0485     5.17            4.83           
Vardas0801     Pavarde0801     5.17            4.96           
Vardas0897     Pavarde0897     5.18            5.27           
Vardas0858     Pavarde0858     5.18            5.36           
Vardas0972     Pavarde0972     5.19            5.28           
Vardas0588     Pavarde0588     5.19            5.18           
Vardas0232     Pavarde0232     5.19            5.42           
Vardas0330     Pavarde0330     5.19            5.41           
Vardas0078     Pavarde0078     5.19            4.93           
Vardas0373     Pavarde0373     5.20            5.92           
Vardas0782     Pavarde0782     5.20            5.11           
Vardas0467     Pavarde0467     5.21            5.26           
Vardas0202     Pavarde0202     5.22            4.65           
Vardas0895     Pavarde0895     5.23            5.53           
Vardas0721     Pavarde0721     5.23            5.69           
Vardas0129     Pavarde0129     5.24            5.09           
Vardas0942     Pavarde0942     5.24            5.58           
