Vardas         Pavarde        Galutinis(Vid.)Galutinis(Med.)
Vardas0076     Pavarde0076     2.15            2.06           
Vardas0346     Pavarde0346     2.21            1.74           
Vardas0558     Pavarde0558     2.27            1.90           
Vardas0970     Pavarde0970     2.27            2.03           
Vardas0432     Pavarde0432     2.34            2.08           
Vardas0550     Pavarde0550     2.37            1.66           
Vardas0148     Pavarde0148     2.37            2.01           
Vardas0695     Pavarde0695     2.39            2.40           
Vardas0952     Pavarde0952     2.47            2.45           
Vardas0368     Pavarde0368     2.52            2.48           
Vardas0218     Pavarde0218     2.53            2.12           
Vardas0664     Pavarde0664     2.53            2.25           
Vardas0185     Pavarde0185     2.53            2.53           
Vardas0520     Pavarde0520     2.54            2.58           
Vardas0726     Pavarde0726     2.56            2.83           
Vardas0957     Pavarde0957     2.57            2.16           
Vardas0683     Pavarde0683     2.59            2.99           
Vardas0914     Pavarde0914     2.60            2.67           
Vardas0528     Pavarde0528     2.61            2.10           
Vardas0365     Pavarde0365     2.62            2.98           
Vardas0692     Pavarde0692     2.63            2.49           
Vardas0579     Pavarde0579     2.65            2.55           
Vardas0279     Pavarde0279     2.67            2.99           
Vardas0495     Pavarde0495     2.68            2.14           
Vardas0646     Pavarde0646     2.68            2.28           
Vardas0045     Pavarde0045     2.70            2.48           
Vardas0003     Pavarde0003     2.72            2.61           
Vardas0783     Pavarde0783     2.75            2.42           
Vardas0244     Pavarde0244     2.75            2.87           
Vardas0484     Pavarde0484     2.75            2.70           
Vardas0716     Pavarde0716     2.76            2.57           
Vardas0426     Pavarde0426     2.77            2.42           
Vardas0608     Pavarde0608     2.78            2.55           
Vardas0154     Pavarde0154     2.78            2.23           
Vardas0034     Pavarde0034     2.78            2.58           
Vardas0853     Pavarde0853     2.78            2.68           
Vardas0951     Pavarde0951     2.79            2.71           
Vardas0923     Pavarde0923     2.80            2.81           
Vardas0418     Pavarde0418     2.81            2.35           
Vardas0557     Pavarde0557     2.81            2.52           
Vardas0862     Pavarde0862     2.84            2.81           
Vardas0588     Pavarde0588     2.84            2.55           
Vardas0173     Pavarde0173     2.85            2.71           
Vardas0950     Pavarde0950     2.85            2.57           
Vardas0556     Pavarde0556     2.86            2.51           
Vardas0063     Pavarde0063     2.86            2.59           
Vardas0873     Pavarde0873     2.86            2.81           
Vardas0774     Pavarde0774     2.87            2.36           
Vardas0161     Pavarde0161     2.87            2.95           
Vardas0459     Pavarde0459     2.88            2.46           
